Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url
MabThera,rituximab,1998-06-02,Authorised,"Arthritis, Rheumatoid  Leukemia, Lymphocytic, Chronic, B-Cell  Lymphoma, Non-Hodgkin",index.jsp?curl=pages/medicines/human/medicines/000165/human_med_000897.jsp
Maci,autologous cultured chondrocytes,2013-06-27,Suspended,"Fractures, Cartilage",index.jsp?curl=pages/medicines/human/medicines/002522/human_med_001660.jsp
Macugen,pegaptanib,2006-01-31,Authorised,Wet Macular Degeneration,index.jsp?curl=pages/medicines/human/medicines/000620/human_med_000898.jsp
Marixino (previously Maruxa),memantine hydrochloride,2013-04-29,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002658/human_med_001631.jsp
Masican,masitinib,2014-07-04,Refused,Gastrointestinal Stromal Tumors,index.jsp?curl=pages/medicines/human/medicines/002670/human_med_001725.jsp
Masiviera,masitinib,2014-05-22,Refused,Pancreatic Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002659/human_med_001739.jsp
Matever,levetiracetam,2011-10-03,Authorised,Epilepsy,index.jsp?curl=pages/medicines/human/medicines/002024/human_med_001489.jsp
Mekinist,trametinib,2014-06-30,Authorised,Melanoma,index.jsp?curl=pages/medicines/human/medicines/002643/human_med_001772.jsp
Memantine Accord,memantine hydrochloride,2013-12-04,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002766/human_med_001702.jsp
Memantine LEK,memantine hydrochloride,2013-04-22,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002630/human_med_001642.jsp
Memantine Merz,memantine hydrochloride,2012-11-22,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002711/human_med_001599.jsp
Memantine Mylan,memantine hydrochloride,2013-04-22,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002660/human_med_001637.jsp
Memantine ratiopharm,memantine hydrochloride,2013-06-13,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002671/human_med_001649.jsp
Menveo,"meningococcal group A, C, W-135 and Y conjugate vaccine",2010-03-15,Authorised,"Immunization  Meningitis, Meningococcal",index.jsp?curl=pages/medicines/human/medicines/001095/human_med_001323.jsp
Mepact,mifamurtide,2009-03-06,Authorised,Osteosarcoma,index.jsp?curl=pages/medicines/human/medicines/000802/human_med_000899.jsp
Metalyse,tenecteplase,2001-02-23,Authorised,Myocardial Infarction,index.jsp?curl=pages/medicines/human/medicines/000306/human_med_000900.jsp
Methylthioninium chloride Proveblue,methylthioninium chloride,2011-05-06,Authorised,Methemoglobinemia,index.jsp?curl=pages/medicines/human/medicines/002108/human_med_001444.jsp
Micardis,telmisartan,1998-12-16,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000209/human_med_000901.jsp
MicardisPlus,telmisartan / hydrochlorothiazide,2002-04-19,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000413/human_med_000902.jsp
Milnacipran Pierre Fabre Medicament,milnacipran,2010-04-08,Refused,Fibromyalgia,index.jsp?curl=pages/medicines/human/medicines/001034/human_med_001311.jsp
Mimpara,cinacalcet,2004-10-22,Authorised,Hypercalcemia  Hyperparathyroidism  Parathyroid Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000570/human_med_000903.jsp
Mirapexin,pramipexole dihydrochloride monohydrate,1998-02-23,Authorised,Parkinson Disease  Restless Legs Syndrome,index.jsp?curl=pages/medicines/human/medicines/000134/human_med_000904.jsp
Mircera,methoxy polyethylene glycol-epoetin beta,2007-07-20,Authorised,"Anemia  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000739/human_med_000905.jsp
Mirvaso,brimonidine tartrate,2014-02-21,Authorised,Skin Diseases,index.jsp?curl=pages/medicines/human/medicines/002642/human_med_001728.jsp
Mixtard,insulin human,2002-10-07,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000428/human_med_000906.jsp
Modigraf,tacrolimus,2009-05-15,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/000954/human_med_000908.jsp
Monotard,insulin human,2002-10-07,Withdrawn,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000440/human_med_000909.jsp
Moventig,naloxegol oxalate,2014-12-08,Authorised,Constipation  Opioid-Related Disorders,index.jsp?curl=pages/medicines/human/medicines/002810/human_med_001816.jsp
Mozobil,plerixafor,2009-07-31,Authorised,Hematopoietic Stem Cell Transplantation  Lymphoma  Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/001030/human_med_000910.jsp
Multaq,dronedarone,2009-11-26,Authorised,Atrial Fibrillation,index.jsp?curl=pages/medicines/human/medicines/001043/human_med_001207.jsp
Mycamine,micafungin,2008-04-25,Authorised,Candidiasis,index.jsp?curl=pages/medicines/human/medicines/000734/human_med_000911.jsp
Myclausen,mycophenolate mofetil,2010-10-07,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/001218/human_med_001392.jsp
Mycograb,recombinant human monoclonal antibody to hsp,2007-05-22,Refused,Candidiasis,index.jsp?curl=pages/medicines/human/medicines/000658/human_med_000912.jsp
Mycophenolate mofetil Teva,mycophenolate mofetil,2008-02-21,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/000882/human_med_000913.jsp
Myfenax,mycophenolate mofetil,2008-02-21,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/000884/human_med_000914.jsp
Mylotarg,gemtuzumab ozogamicin,2008-04-14,Refused,"Leukemia, Myeloid, Acute",index.jsp?curl=pages/medicines/human/medicines/000705/human_med_000915.jsp
Myocet,doxorubicin hydrochloride,2000-07-13,Authorised,Breast Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000297/human_med_000916.jsp
Myozyme,alglucosidase alfa,2006-03-29,Authorised,Glycogen Storage Disease Type II,index.jsp?curl=pages/medicines/human/medicines/000636/human_med_000917.jsp
Mysildecard,sildenafil citrate,2016-09-15,Authorised,"Hypertension, Pulmonary",index.jsp?curl=pages/medicines/human/medicines/004186/human_med_002027.jsp
Mysimba,bupropion hydrochloride / naltrexone hydrochloride,2015-03-26,Authorised,Obesity  Overweight,index.jsp?curl=pages/medicines/human/medicines/003687/human_med_001845.jsp
Naglazyme,galsulfase,2006-01-24,Authorised,Mucopolysaccharidosis VI,index.jsp?curl=pages/medicines/human/medicines/000640/human_med_000918.jsp
Natalizumab Elan Pharma,natalizumab,2008-01-11,Refused,Crohn Disease,index.jsp?curl=pages/medicines/human/medicines/000624/human_med_000919.jsp
Nemdatine,memantine,2013-04-22,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002680/human_med_001638.jsp
Neoclarityn,desloratadine,2001-01-15,Authorised,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal  Urticaria",index.jsp?curl=pages/medicines/human/medicines/000314/human_med_000920.jsp
Neofordex,dexamethasone,2016-03-16,Authorised,Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/004071/human_med_001960.jsp
NeoRecormon,epoetin beta,1997-07-16,Authorised,"Anemia  Blood Transfusion, Autologous  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000116/human_med_000921.jsp
NeoSpect,depreotide trifluoroacetate,2000-11-29,Withdrawn,Radionuclide Imaging,index.jsp?curl=pages/medicines/human/medicines/000263/human_med_000922.jsp
Neparvis,sacubitril / valsartan,2016-05-26,Authorised,Heart Failure,index.jsp?curl=pages/medicines/human/medicines/004343/human_med_001982.jsp
Nerventra,laquinimod,2014-08-19,Refused,Multiple Sclerosis,index.jsp?curl=pages/medicines/human/medicines/002546/human_med_001729.jsp
Nespo,darbepoetin alfa,2001-06-08,Withdrawn,"Anemia  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000333/human_med_000923.jsp
Neulasta,pegfilgrastim,2002-08-22,Authorised,Cancer  Neutropenia,index.jsp?curl=pages/medicines/human/medicines/000420/human_med_000924.jsp
Neupopeg,pegfilgrastim,2002-08-22,Withdrawn,Cancer  Neutropenia,index.jsp?curl=pages/medicines/human/medicines/000422/human_med_000925.jsp
Neupro,rotigotine,2006-02-15,Authorised,Parkinson Disease  Restless Legs Syndrome,index.jsp?curl=pages/medicines/human/medicines/000626/human_med_000926.jsp
Neuraceq,florbetaben (18F),2014-02-20,Authorised,Alzheimer Disease  Radionuclide Imaging,index.jsp?curl=pages/medicines/human/medicines/002553/human_med_001716.jsp
NeuroBloc,botulinum toxin type B,2001-01-22,Authorised,Torticollis,index.jsp?curl=pages/medicines/human/medicines/000301/human_med_000927.jsp
Nevanac,nepafenac,2007-12-11,Authorised,"Ophthalmologic Surgical Procedures  Pain, Postoperative",index.jsp?curl=pages/medicines/human/medicines/000818/human_med_000928.jsp
Nevirapine Teva,nevirapine,2009-11-30,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/001119/human_med_001202.jsp
Nexavar,sorafenib,2006-07-19,Authorised,"Carcinoma, Hepatocellular  Carcinoma, Renal Cell",index.jsp?curl=pages/medicines/human/medicines/000690/human_med_000929.jsp
Nexium Control,esomeprazole,2013-08-26,Authorised,Gastroesophageal Reflux,index.jsp?curl=pages/medicines/human/medicines/002618/human_med_001679.jsp
NexoBrid,concentrate of proteolytic enzymes enriched in bromelain,2012-12-18,Authorised,Debridement,index.jsp?curl=pages/medicines/human/medicines/002246/human_med_001582.jsp
Nimenrix,Neisseria meningitidis serogroup A polysaccharide conjugated to tetanus toxoid / Neisseria meningitidis serogroup C polysaccharide conjugated to tetanus toxoid / Neisseria meningitidis serogroup W-135 polysaccharide conjugated to tetanus toxoid / Neisseria meningitidis serogroup Y polysaccharide conjugated to tetanus toxoid,2012-04-20,Authorised,"Meningitis, Meningococcal",index.jsp?curl=pages/medicines/human/medicines/002226/human_med_001548.jsp
Nimvastid,rivastigmine,2009-05-11,Authorised,Alzheimer Disease  Dementia  Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/001029/human_med_000930.jsp
Ninlaro,ixazomib citrate,2016-11-21,Authorised,Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/003844/human_med_001998.jsp
Nivestim,filgrastim,2010-06-08,Authorised,Cancer  Hematopoietic Stem Cell Transplantation  Neutropenia,index.jsp?curl=pages/medicines/human/medicines/001142/human_med_001344.jsp
Nivolumab BMS,nivolumab,2015-07-20,Withdrawn,"Carcinoma, Non-Small-Cell Lung",index.jsp?curl=pages/medicines/human/medicines/003840/human_med_001887.jsp
Nonafact,human coagulation factor IX,2001-07-03,Authorised,Hemophilia B,index.jsp?curl=pages/medicines/human/medicines/000348/human_med_000931.jsp
Nordimet,methotrexate,2016-08-18,Authorised,"Arthritis, Juvenile Rheumatoid  Arthritis, Psoriatic  Arthritis, Rheumatoid  Psoriasis",index.jsp?curl=pages/medicines/human/medicines/003983/human_med_002015.jsp
Norvir,ritonavir,1996-08-26,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000127/human_med_000932.jsp
NovoEight,turoctocog alfa,2013-11-13,Authorised,Hemophilia A,index.jsp?curl=pages/medicines/human/medicines/002719/human_med_001701.jsp
NovoMix,insulin aspart,2000-08-01,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000308/human_med_000933.jsp
NovoNorm,repaglinide,1998-08-17,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000187/human_med_000934.jsp
NovoRapid,insulin aspart,1999-09-07,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000258/human_med_000935.jsp
NovoSeven,eptacog alfa (activated),1996-02-23,Authorised,Factor VII Deficiency  Hemophilia A  Hemophilia B  Thrombasthenia,index.jsp?curl=pages/medicines/human/medicines/000074/human_med_000936.jsp
NovoThirteen,catridecacog,2012-09-03,Authorised,"Blood Coagulation Disorders, Inherited",index.jsp?curl=pages/medicines/human/medicines/002284/human_med_001576.jsp
Noxafil,posaconazole,2005-10-25,Authorised,Aspergillosis  Candidiasis  Coccidioidomycosis  Mycoses,index.jsp?curl=pages/medicines/human/medicines/000610/human_med_000937.jsp
Nplate,romiplostim,2009-02-04,Authorised,"Purpura, Thrombocytopenic, Idiopathic",index.jsp?curl=pages/medicines/human/medicines/000942/human_med_000938.jsp
Nucala,mepolizumab,2015-12-02,Authorised,Asthma,index.jsp?curl=pages/medicines/human/medicines/003860/human_med_001933.jsp
Nuedexta,dextromethorphan / quinidine,2013-06-24,Withdrawn,Neurobehavioral Manifestations,index.jsp?curl=pages/medicines/human/medicines/002560/human_med_001652.jsp
Nulojix,belatacept,2011-06-17,Authorised,Graft Rejection  Kidney Transplantation,index.jsp?curl=pages/medicines/human/medicines/002098/human_med_001459.jsp
Numient,levodopa / carbidopa,2015-11-19,Authorised,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/002611/human_med_001934.jsp
NutropinAq,somatropin,2001-02-16,Authorised,"Dwarfism, Pituitary  Turner Syndrome",index.jsp?curl=pages/medicines/human/medicines/000315/human_med_000939.jsp
Nuwiq,simoctocog alfa,2014-07-22,Authorised,Hemophilia A,index.jsp?curl=pages/medicines/human/medicines/002813/human_med_001781.jsp
Nyracta,rosiglitazone,2000-07-11,Withdrawn,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000269/human_med_000941.jsp
Obizur,susoctocog alfa,2015-11-11,Authorised,Hemophilia A,index.jsp?curl=pages/medicines/human/medicines/002792/human_med_001918.jsp
Ocaliva,obeticholic acid,2016-12-12,Authorised,"Liver Cirrhosis, Biliary",index.jsp?curl=pages/medicines/human/medicines/004093/human_med_002043.jsp
Odefsey,emtricitabine / rilpivirine hydrochloride / tenofovir alafenamide,2016-06-21,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/004156/human_med_001991.jsp
Odomzo,sonidegib diphosphate,2015-08-14,Authorised,"Carcinoma, Basal Cell",index.jsp?curl=pages/medicines/human/medicines/002839/human_med_001897.jsp
Ofev,nintedanib,2015-01-15,Authorised,Idiopathic Pulmonary Fibrosis,index.jsp?curl=pages/medicines/human/medicines/003821/human_med_001834.jsp
Olansek,olanzapine,1996-10-07,Withdrawn,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/000114/human_med_000942.jsp
Olanzapine Apotex,olanzapine,2010-06-10,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/001178/human_med_001345.jsp
Olanzapine Cipla (previously Olanzapine Neopharma),olanzapine,2007-11-14,Withdrawn,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/000793/human_med_000944.jsp
Olanzapine Glenmark,olanzapine,2009-12-03,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/001085/human_med_001302.jsp
Olanzapine Glenmark Europe,olanzapine,2009-12-03,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/001086/human_med_001303.jsp
Olanzapine Mylan,olanzapine,2008-10-07,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/000961/human_med_000943.jsp
Olanzapine Teva,olanzapine,2007-12-12,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/000810/human_med_000945.jsp
Olazax,olanzapine,2009-12-11,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/001087/human_med_001304.jsp
Olazax Disperzi,olanzapine,2009-12-10,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/001088/human_med_001305.jsp
Olysio,simeprevir,2014-05-14,Authorised,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/002777/human_med_001766.jsp
Omidria,ketorolac / phenylephrine,2015-07-28,Authorised,"Lens Implantation, Intraocular  Pain, Postoperative",index.jsp?curl=pages/medicines/human/medicines/003702/human_med_001888.jsp
Omnitrope,somatropin,2006-04-12,Authorised,"Dwarfism, Pituitary  Prader-Willi Syndrome  Turner Syndrome",index.jsp?curl=pages/medicines/human/medicines/000607/human_med_000946.jsp
Onbrez Breezhaler,indacaterol maleate,2009-11-30,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/001114/human_med_001219.jsp
Oncaspar,pegaspargase,2016-01-14,Authorised,Precursor Cell Lymphoblastic Leukemia-Lymphoma,index.jsp?curl=pages/medicines/human/medicines/003789/human_med_001949.jsp
Onduarp,telmisartan / amlodipine besilate,2011-11-24,Withdrawn,Hypertension,index.jsp?curl=pages/medicines/human/medicines/002118/human_med_001518.jsp
Ongentys,opicapone,2016-06-24,Authorised,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/002790/human_med_001950.jsp
Onglyza,saxagliptin,2009-10-01,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/001039/human_med_000947.jsp
Onivyde,irinotecan hydrochloride trihydrate,2016-10-14,Authorised,Pancreatic Neoplasms,index.jsp?curl=pages/medicines/human/medicines/004125/human_med_002022.jsp
Onsenal,celecoxib,2003-10-17,Withdrawn,Adenomatous Polyposis Coli,index.jsp?curl=pages/medicines/human/medicines/000466/human_med_000948.jsp
Opatanol,olopatadine hydrochloride,2002-05-17,Authorised,"Conjunctivitis, Allergic",index.jsp?curl=pages/medicines/human/medicines/000407/human_med_000949.jsp
Opdivo,nivolumab,2015-06-19,Authorised,"Carcinoma, Non-Small-Cell Lung  Carcinoma, Renal Cell  Hodgkin Disease  Melanoma",index.jsp?curl=pages/medicines/human/medicines/003985/human_med_001876.jsp
Opgenra,eptotermin alfa,2009-02-19,Withdrawn,Spondylolisthesis,index.jsp?curl=pages/medicines/human/medicines/000819/human_med_000950.jsp
Oprymea,pramipexole dihydrochloride monohydrate,2008-09-12,Authorised,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/000941/human_med_000951.jsp
Opsumit,macitentan,2013-12-20,Authorised,"Hypertension, Pulmonary",index.jsp?curl=pages/medicines/human/medicines/002697/human_med_001717.jsp
Optaflu,"influenza virus surface antigens (haemagglutinin and neuraminidase), inactivated, of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain(A/Brisbane/10/2010, wild type)A/Switzerland/9715293/2013 (H3N2) - like strain(A/South Australia/55/2014, wild type)B/Phuket/3073/2013–like strain(B/Utah/9/2014, wild type)",2007-06-01,Authorised,"Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/000758/human_med_000952.jsp
Optimark,gadoversetamide,2007-07-23,Authorised,Magnetic Resonance Imaging,index.jsp?curl=pages/medicines/human/medicines/000745/human_med_000953.jsp
Optison,perflutren,1998-05-18,Authorised,Echocardiography,index.jsp?curl=pages/medicines/human/medicines/000166/human_med_000954.jsp
Optruma,raloxifene hydrochloride,1998-08-05,Authorised,"Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000185/human_med_000956.jsp
Opulis,desloratadine,2001-01-15,Withdrawn,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal  Urticaria",index.jsp?curl=pages/medicines/human/medicines/000311/human_med_000957.jsp
Orbactiv,oritavancin diphosphate,2015-03-19,Authorised,"Skin Diseases, Bacterial  Soft Tissue Infections",index.jsp?curl=pages/medicines/human/medicines/003785/human_med_001853.jsp
Orencia,abatacept,2007-05-21,Authorised,"Arthritis, Juvenile Rheumatoid  Arthritis, Rheumatoid",index.jsp?curl=pages/medicines/human/medicines/000701/human_med_000958.jsp
Orfadin,nitisinone,2005-02-21,Authorised,Tyrosinemias,index.jsp?curl=pages/medicines/human/medicines/000555/human_med_000959.jsp
Orgalutran,ganirelix,2000-05-17,Authorised,"Ovulation Induction  Reproductive Techniques, Assisted",index.jsp?curl=pages/medicines/human/medicines/000274/human_med_000960.jsp
Orkambi,lumacaftor / ivacaftor,2015-11-19,Authorised,Cystic Fibrosis,index.jsp?curl=pages/medicines/human/medicines/003954/human_med_001935.jsp
Orlaam,levacetylmethadol,1997-07-01,Withdrawn,Opioid-Related Disorders,index.jsp?curl=pages/medicines/human/medicines/000077/human_med_000961.jsp
Orphacol,cholic acid,2013-09-12,Authorised,"Digestive System Diseases  Metabolism, Inborn Errors",index.jsp?curl=pages/medicines/human/medicines/001250/human_med_001419.jsp
Osigraft,eptotermin alfa,2001-05-17,Withdrawn,Tibial Fractures,index.jsp?curl=pages/medicines/human/medicines/000293/human_med_000962.jsp
Oslif Breezhaler,indacaterol maleate,2009-11-30,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/001210/human_med_001218.jsp
Osseor,strontium ranelate,2004-09-21,Authorised,"Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000561/human_med_000963.jsp
Otezla,apremilast,2015-01-15,Authorised,"Arthritis, Psoriatic  Psoriasis",index.jsp?curl=pages/medicines/human/medicines/003746/human_med_001835.jsp
Ovaleap,follitropin alfa,2013-09-27,Authorised,Anovulation,index.jsp?curl=pages/medicines/human/medicines/002608/human_med_001689.jsp
Ovitrelle,choriogonadotropin alfa,2001-02-02,Authorised,"Anovulation  Infertility, Female  Reproductive Techniques, Assisted",index.jsp?curl=pages/medicines/human/medicines/000320/human_med_000964.jsp
Ozurdex,dexamethasone,2010-07-27,Authorised,Macular Edema  Uveitis,index.jsp?curl=pages/medicines/human/medicines/001140/human_med_001367.jsp
Paglitaz,pioglitazone hydrochloride,2012-03-21,Withdrawn,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002309/human_med_001477.jsp
Palonosetron Accord,palonosetron,2016-05-26,Authorised,Cancer  Nausea  Vomiting,index.jsp?curl=pages/medicines/human/medicines/004129/human_med_001983.jsp
Palonosetron Hospira,palonosetron hydrochloride,2016-04-08,Authorised,Cancer  Nausea  Vomiting,index.jsp?curl=pages/medicines/human/medicines/004069/human_med_001976.jsp
Pandemic Influenza Vaccine H5N1 Baxter AG,"influenza vaccine (whole virion, inactivated) containing antigen of: A/Vietnam/1203/2004 (H5N1)",2009-10-16,Authorised,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/001200/human_med_001215.jsp
Pandemic influenza vaccine H5N1 MedImmune,reassortant influenza virus (live attenuated) of the following strain: A/Vietnam/1203/2004 (H5N1) strain,2016-05-20,Authorised,"Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/003963/human_med_001984.jsp
Pandemrix,"split influenza virus inactivated, containing antigen equivalent to A/California/07/2009 (H1N1)-derived strain used NYMC X-179A",2008-05-20,Withdrawn,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/000832/human_med_000965.jsp
Panretin,alitretinoin,2000-10-11,Authorised,"Sarcoma, Kaposi",index.jsp?curl=pages/medicines/human/medicines/000279/human_med_000966.jsp
Pantecta Control,pantoprazole,2009-06-12,Withdrawn,Gastroesophageal Reflux,index.jsp?curl=pages/medicines/human/medicines/001099/human_med_000967.jsp
Pantoloc Control,pantoprazole,2009-06-12,Authorised,Gastroesophageal Reflux,index.jsp?curl=pages/medicines/human/medicines/001100/human_med_000968.jsp
Pantozol Control,pantoprazole,2009-06-12,Authorised,Gastroesophageal Reflux,index.jsp?curl=pages/medicines/human/medicines/001013/human_med_000969.jsp
Parareg,cinacalcet,2004-10-22,Withdrawn,Hypercalcemia  Hyperparathyroidism  Parathyroid Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000575/human_med_000970.jsp
Parsabiv,etelcalcetide hydrochloride,2016-11-11,Authorised,"Hyperparathyroidism, Secondary",index.jsp?curl=pages/medicines/human/medicines/003995/human_med_002037.jsp
Patrex,sildenafil,1998-09-15,Withdrawn,Erectile Dysfunction,index.jsp?curl=pages/medicines/human/medicines/000204/human_med_000971.jsp
Paxene,paclitaxel,1999-07-19,Withdrawn,"Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Ovarian Neoplasms  Sarcoma, Kaposi",index.jsp?curl=pages/medicines/human/medicines/000216/human_med_000972.jsp
PecFent,fentanyl,2010-08-31,Authorised,Cancer  Pain,index.jsp?curl=pages/medicines/human/medicines/001164/human_med_001387.jsp
Pedea,ibuprofen,2004-07-29,Authorised,"Ductus Arteriosus, Patent",index.jsp?curl=pages/medicines/human/medicines/000549/human_med_000973.jsp
Pegasys,peginterferon alfa-2a,2002-06-20,Authorised,"Hepatitis B, Chronic  Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/000395/human_med_000974.jsp
PegIntron,peginterferon alfa-2b,2000-05-25,Authorised,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/000280/human_med_000975.jsp
Pelzont,laropiprant / nicotinic acid,2008-07-03,Withdrawn,Dyslipidemias,index.jsp?curl=pages/medicines/human/medicines/000903/human_med_000976.jsp
Pemetrexed Accord,pemetrexed disodium hemipentahydrate,2016-01-18,Authorised,"Carcinoma, Non-Small-Cell Lung  Mesothelioma",index.jsp?curl=pages/medicines/human/medicines/004072/human_med_001951.jsp
Pemetrexed Fresenius Kabi,pemetrexed,2016-07-22,Authorised,"Carcinoma, Non-Small-Cell Lung  Mesothelioma",index.jsp?curl=pages/medicines/human/medicines/003895/human_med_001999.jsp
Pemetrexed Hospira,pemetrexed,2015-11-20,Authorised,"Carcinoma, Non-Small-Cell Lung  Mesothelioma",index.jsp?curl=pages/medicines/human/medicines/003970/human_med_001936.jsp
Pemetrexed Lilly,pemetrexed,2015-09-14,Authorised,"Carcinoma, Non-Small-Cell Lung  Mesothelioma",index.jsp?curl=pages/medicines/human/medicines/004114/human_med_001913.jsp
Pemetrexed medac,pemetrexed,2015-11-27,Authorised,"Carcinoma, Non-Small-Cell Lung  Mesothelioma",index.jsp?curl=pages/medicines/human/medicines/003905/human_med_001937.jsp
Pemetrexed Sandoz,pemetrexed disodium hemipentahydrate,2015-09-18,Authorised,"Carcinoma, Non-Small-Cell Lung  Mesothelioma",index.jsp?curl=pages/medicines/human/medicines/004011/human_med_001914.jsp
Pergoveris,follitropin alfa / lutropin alfa,2007-06-25,Authorised,"Infertility, Female",index.jsp?curl=pages/medicines/human/medicines/000714/human_med_000977.jsp
Perjeta,pertuzumab,2013-03-04,Authorised,Breast Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002547/human_med_001628.jsp
Peyona (previously Nymusa),caffeine citrate,2009-07-02,Authorised,Apnea,index.jsp?curl=pages/medicines/human/medicines/001014/human_med_000940.jsp
Pheburane,sodium phenylbutyrate,2013-07-31,Authorised,Carbamoyl-Phosphate Synthase I Deficiency Disease,index.jsp?curl=pages/medicines/human/medicines/002500/human_med_001639.jsp
PhotoBarr,porfimer sodium,2004-03-25,Withdrawn,Barrett Esophagus,index.jsp?curl=pages/medicines/human/medicines/000493/human_med_000978.jsp
Picato,ingenol mebutate,2012-11-15,Authorised,"Keratosis, Actinic",index.jsp?curl=pages/medicines/human/medicines/002275/human_med_001600.jsp
Pioglitazone Accord,pioglitazone hydrochloride,2012-03-21,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002277/human_med_001491.jsp
Pioglitazone Actavis,pioglitazone hydrochloride,2012-03-15,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002324/human_med_001526.jsp
Pioglitazone Krka,pioglitazone hydrochloride,2012-03-21,Withdrawn,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002453/human_med_001483.jsp
