,Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url,atc,emea,indication,wdid,wdid_mix,rxcui,rxcui_mix,rxcui_combo
550,Lumigan,bimatoprost,2002-03-08,Authorised,"Glaucoma, Open-Angle  Ocular Hypertension",index.jsp?curl=pages/medicines/human/medicines/000391/human_med_000891.jsp,S01EE03,EMEA/H/C/000391,Reduction of elevated intraocular pressure in chronic open-angle glaucoma and ocular hypertension (as monotherapy or as adjunctive therapy to beta-blockers).,Q2393348,,283810,,
551,Luminity,perflutren,2006-09-20,Authorised,Echocardiography,index.jsp?curl=pages/medicines/human/medicines/000654/human_med_000892.jsp,V08DA04,EMEA/H/C/000654,"This medicinal product is for diagnostic use only.
Luminity is an ultrasound contrast-enhancing agent for use in patients in whom non-contrast echocardiography was suboptimal (suboptimal is considered to indicate that at least two of six segments in the 4- or 2-chamber view of the ventricular border were not evaluable) and who have suspected or established coronary artery disease, to provide opacification of cardiac chambers and improvement of left ventricular endocardial border delineation at both rest and stress.",Q412659,,283753,,
552,Lusduna,insulin glargine,2017-01-04,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/004101/human_med_002058.jsp,A10AE04,EMEA/H/C/004101,"Treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.",Q417317,,274783,,
553,Luveris,lutropin alfa,2000-11-29,Authorised,"Infertility, Female  Ovulation Induction",index.jsp?curl=pages/medicines/human/medicines/000292/human_med_000893.jsp,G03GA07,EMEA/H/C/000292,"Luveris in association with a follicle-stimulating-hormone (FSH) preparation is recommended for the stimulation of follicular development in women with severe luteinising-hormone (LH) and FSH deficiency. In clinical trials, these patients were defined by an endogenous serum LH level 1.2 IU/l.",Q208360,,388084,,
554,Lymphoseek,tilmanocept,2014-11-19,Authorised,Radionuclide Imaging,index.jsp?curl=pages/medicines/human/medicines/002085/human_med_001827.jsp,V09IA09,EMEA/H/C/002085,"This medicinal product is for diagnostic use only.
Radiolabelled Lymphoseek is indicated for imaging and intraoperative detection of sentinel lymph nodes draining a primary tumour in adult patients with breast cancer, melanoma, or localised squamous cell carcinoma of the oral cavity.
External imaging and intraoperative evaluation may be performed using a gamma detection device.",,,,,
555,Lympreva,dasiprotimut-t,2015-07-03,Refused,"Lymphoma, Non-Hodgkin",index.jsp?curl=pages/medicines/human/medicines/002772/human_med_001870.jsp,L03AX,EMEA/H/C/002772,Treatment of non-Hodgkins lymphoma (FL),,,,,
556,Lynparza,olaparib,2014-12-16,Authorised,Ovarian Neoplasms,index.jsp?curl=pages/medicines/human/medicines/003726/human_med_001831.jsp,L01,EMEA/H/C/003726,"Lynparza is indicated as monotherapy for the maintenance treatment of adult patients with platinum-sensitive relapsed BRCA-mutated (germline and/or somatic) high grade serous epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response (complete response or partial response) to platinum-based chemotherapy.",Q7083106,,1597582,,
557,Lyrica,pregabalin,2004-07-06,Authorised,Anxiety Disorders  Epilepsy  Neuralgia,index.jsp?curl=pages/medicines/human/medicines/000546/human_med_000894.jsp,N03AX16,EMEA/H/C/000546,"Neuropathic pain

Lyrica is indicated for the treatment of peripheral and central neuropathic pain in adults.

Epilepsy

Lyrica is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation.

Generalised anxiety disorder

Lyrica is indicated for the treatment of generalised anxiety disorder (GAD) in adults.
",Q412174,,187832,,
558,Lysodren,mitotane,2004-04-28,Authorised,Adrenal Cortex Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000521/human_med_000895.jsp,L01XX23,EMEA/H/C/000521,"Symptomatic treatment of advanced (unresectable, metastatic or relapsed) adrenal cortical carcinoma.
The effect of Lysodren on non-functional adrenal cortical carcinoma is not established.",Q417465,,7004,,
559,Lyxumia,lixisenatide,2013-02-01,Authorised,"Diabetes Mellitus, Type 2",,A10BX10,EMEA/H/C/002445,"Lyxumia is indicated for the treatment of adults with type 2 diabetes mellitus to achieve glycaemic control in combination with oral glucose lowering medicinal products and/or basal insulin when these, together with diet and exercise, do not provide adequate glycaemic control (see sections 4.4 and 5.1 for available data on the different combinations).",Q6659956,,,,
560,M-M-RVAXPRO,"measles virus Enders’ Edmonston strain (live, attenuated) / mumps virus Jeryl Lynn (level B) strain (live, attenuated) / rubella virus Wistar RA 27/3 strain (live, attenuated)",2006-05-05,Authorised,Immunization  Measles  Mumps  Rubella,index.jsp?curl=pages/medicines/human/medicines/000604/human_med_000907.jsp,J07BD52,EMEA/H/C/000604,"M-M-RVAXPRO is indicated for simultaneous vaccination against measles, mumps, and rubella in individuals 12 months or older.
For use in measles outbreaks, or for post-exposure vaccination, or for use in previously unvaccinated children older than 12 months who are in contact with susceptible pregnant women, and persons likely to be susceptible to mumps and rubella.",Q908104,,,,
561,MabCampath,alemtuzumab,2001-07-06,Withdrawn,"Leukemia, Lymphocytic, Chronic, B-Cell",index.jsp?curl=pages/medicines/human/medicines/000353/human_med_000896.jsp,L01XC04,EMEA/H/C/000353,MabCampath is indicated for the treatment of patients with B-cell chronic lymphocytic leukaemia (BCLL) for whom fludarabine combination chemotherapy is not appropriate.,Q420164,,,,
562,MabThera,rituximab,1998-06-02,Authorised,"Arthritis, Rheumatoid  Leukemia, Lymphocytic, Chronic, B-Cell  Lymphoma, Non-Hodgkin",index.jsp?curl=pages/medicines/human/medicines/000165/human_med_000897.jsp,L01XC02,EMEA/H/C/000165,"MabThera is indicated in adults for the following indications:
Non-Hodgkin's lymphoma
MabThera is indicated for the treatment of previously untreated patients with stage-III-IV follicular lymphoma in combination with chemotherapy.
MabThera maintenance therapy is indicated for the treatment of follicular lymphoma patients responding to induction therapy.
MabThera monotherapy is indicated for treatment of patients with stage-III-IV follicular lymphoma who are chemoresistant or are in their second or subsequent relapse after chemotherapy.
MabThera is indicated for the treatment of patients with CD20-positive diffuse large B-cell non-Hodgkin's lymphoma in combination with CHOP (cyclophosphamide, doxorubicin, vincristine, prednisolone) chemotherapy.
Chronic lymphocytic leukaemia
MabThera in combination with chemotherapy is indicated for the treatment of patients with previously untreated and relapsed / refractory chronic lymphocytic leukaemia. Only limited data are available on efficacy and safety for patients previously treated with monoclonal antibodies including MabThera or patients refractory to previous MabThera plus chemotherapy.
Rheumatoid arthritis
MabThera in combination with methotrexate is indicated for the treatment of adult patients with severe active rheumatoid arthritis who have had an inadequate response or intolerance to other disease-modifying antirheumatic drugs (DMARDs) including one or more tumour-necrosis-factor (TNF)-inhibitor therapies.
MabThera has been shown to reduce the rate of progression of joint damage as measured by X-ray and to improve physical function, when given in combination with methotrexate.",Q412323,,,,
563,Maci,autologous cultured chondrocytes,2013-06-27,Suspended,"Fractures, Cartilage",index.jsp?curl=pages/medicines/human/medicines/002522/human_med_001660.jsp,M09AX02,EMEA/H/C/002522,Repair of symptomatic cartilage defects of the knee.,,,,,
564,Macugen,pegaptanib,2006-01-31,Authorised,Wet Macular Degeneration,index.jsp?curl=pages/medicines/human/medicines/000620/human_med_000898.jsp,S01LA03,EMEA/H/C/000620,Macugen is indicated for the treatment of neovascular (wet) age-related macular degeneration (AMD).,Q409935,,,,
565,Marixino (previously Maruxa),memantine hydrochloride,2013-04-29,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002658/human_med_001631.jsp,N06DX01,EMEA/H/C/002658,Treatment of patients with moderate to severe Alzheimers disease.,Q412189,,6719,,
566,Masican,masitinib,2014-07-04,Refused,Gastrointestinal Stromal Tumors,index.jsp?curl=pages/medicines/human/medicines/002670/human_med_001725.jsp,L01XE,EMEA/H/C/002670,Treatment of unresectable and/or metastatic malignant gastrointestinal stromal tumour (GIST),Q1907109,,,,
567,Masiviera,masitinib,2014-05-22,Refused,Pancreatic Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002659/human_med_001739.jsp,L01XE,EMEA/H/C/002659,Treatment of non resectable locally advanced or metastatic pancreatic cancer,Q1907109,,,,
568,Matever,levetiracetam,2011-10-03,Authorised,Epilepsy,index.jsp?curl=pages/medicines/human/medicines/002024/human_med_001489.jsp,N03AX14,EMEA/H/C/002024,"Matever is indicated as monotherapy in the treatment of partial-onset seizures with or without secondary generalisation in patients from 16 years of age with newly diagnosed epilepsy.
Matever is indicated as adjunctive therapy:

in the treatment of partial-onset seizures with or without secondary generalisation in adults, children and infants fromone month of age with epilepsy;
in the treatment of myoclonic seizures in adults and adolescents from 12 years of age with juvenile myoclonic epilepsy;
in the treatment of primary generalised tonic-clonic seizures in adults and adolescents from 12 years of age with idiopathic generalised epilepsy.
",Q417227,,,,
569,Mekinist,trametinib,2014-06-30,Authorised,Melanoma,index.jsp?curl=pages/medicines/human/medicines/002643/human_med_001772.jsp,L01XE25,EMEA/H/C/002643,"Trametinib as monotherapy or in combination with dabrafenib is indicated for the treatment of adult patients with unresectable or metastatic melanoma with a BRAF V600 mutation.
Trametinib monotherapy has not demonstrated clinical activity in patients who have progressed on a prior BRAF inhibitor therapy.",Q7833138,,1425099,,
570,Memantine Accord,memantine hydrochloride,2013-12-04,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002766/human_med_001702.jsp,N06DX01,EMEA/H/C/002766,Treatment of patients with moderate to severe Alzheimers disease.,Q412189,,6719,,
571,Memantine LEK,memantine hydrochloride,2013-04-22,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002630/human_med_001642.jsp,N06DX01,EMEA/H/C/002630,Treatment of patients with moderate to severe Alzheimers disease.,Q412189,,6719,,
572,Memantine Merz,memantine hydrochloride,2012-11-22,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002711/human_med_001599.jsp,N06DX01,EMEA/H/C/002711,Treatment of patients with moderate to severe Alzheimers disease.,Q412189,,6719,,
573,Memantine Mylan,memantine hydrochloride,2013-04-22,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002660/human_med_001637.jsp,N06DX01,EMEA/H/C/002660,Treatment of patients with moderate to severe Alzheimers disease.,Q412189,,6719,,
574,Memantine ratiopharm,memantine hydrochloride,2013-06-13,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002671/human_med_001649.jsp,N06DX01,EMEA/H/C/002671,Treatment of patients with moderate to severe Alzheimers disease,Q412189,,6719,,
575,Menveo,"meningococcal group A, C, W-135 and Y conjugate vaccine",2010-03-15,Authorised,"Immunization  Meningitis, Meningococcal",index.jsp?curl=pages/medicines/human/medicines/001095/human_med_001323.jsp,J07AH08,EMEA/H/C/001095,"Prefilled syringe
Menveo is indicated for active immunisation of adolescents (from 11 years of age) and adults at risk of exposure to Neisseria meningitidis groups A, C, W135 and Y, to prevent invasive disease.
The use of this vaccine should be in accordance with official recommendations.
Vials
Menveo is indicated for active immunisation of children (fromtwo years of age), adolescents and adults at risk of exposure to Neisseria meningitidis groups A, C, W135 and Y, to prevent invasive disease.
The use of this vaccine should be in accordance with official recommendations.",Q6817090,,,,
576,Mepact,mifamurtide,2009-03-06,Authorised,Osteosarcoma,index.jsp?curl=pages/medicines/human/medicines/000802/human_med_000899.jsp,L03AX15,EMEA/H/C/000802,"Mepact is indicated in children, adolescents and young adults for the treatment of high-grade resectable non-metastatic osteosarcoma after macroscopically complete surgical resection. It is used in combination with postoperative multi-agent chemotherapy. Safety and efficacy have been assessed in studies of patientstwo to 30 years of age at initial diagnosis.",Q411175,,,,
577,Metalyse,tenecteplase,2001-02-23,Authorised,Myocardial Infarction,index.jsp?curl=pages/medicines/human/medicines/000306/human_med_000900.jsp,B01AD11,EMEA/H/C/000306,Metalyse is indicated for the thrombolytic treatment of suspected myocardial infarction with persistent ST elevation or recent left-bundle-branch block withinsix hours after the onset of acute-myocardial-infarction symptoms.,Q1644947,,,,
578,Methylthioninium chloride Proveblue,methylthioninium chloride,2011-05-06,Authorised,Methemoglobinemia,index.jsp?curl=pages/medicines/human/medicines/002108/human_med_001444.jsp,V03AB17,EMEA/H/C/002108,"Acute symptomatic treatment of medicinal and chemical products- induced methaemoglobinaemia.
Methylthioninium chloride Proveblue is indicated in adults, children and adolescents (aged 0 to 17 years old).",Q422134,,,,
579,Micardis,telmisartan,1998-12-16,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000209/human_med_000901.jsp,C09CA07,EMEA/H/C/000209,"Hypertension
Treatment of essential hypertension in adults.
Cardiovascular prevention
Reduction of cardiovascular morbidity in patients with:

manifest atherothrombotic cardiovascular disease (history of coronary heart disease, stroke, or peripheral arterial disease) or;
type-2 diabetes mellitus with documented target-organ damage.
",Q733186,,73494,,
580,MicardisPlus,telmisartan / hydrochlorothiazide,2002-04-19,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000413/human_med_000902.jsp,C09DA07,EMEA/H/C/000413,"Treatment of essential hypertension.
MicardisPlus fixed-dose combination (40 mg telmisartan / 12.5 mg hydrochlorothiazide, 80 mg telmisartan / 12.5 mg hydrochlorothiazide) is indicated in patients whose blood pressure is not adequately controlled on telmisartan alone.
MicardisPlus fixed-dose combination (80 mg telmisartan / 25 mg hydrochlorothiazide) is indicated in patients whose blood pressure is not adequately controlled on MicardisPlus (80 mg telmisartan / 12.5 mg hydrochlorothiazide) or patients who have been previously stabilised on telmisartan and hydrochlorothiazide given separately.",,"['Q733186', 'Q423930']",,"['73494', '5487']",284636
581,Milnacipran Pierre Fabre Medicament,milnacipran,2010-04-08,Refused,Fibromyalgia,index.jsp?curl=pages/medicines/human/medicines/001034/human_med_001311.jsp,,EMEA/H/C/001034,,Q27086377,,,,
582,Mimpara,cinacalcet,2004-10-22,Authorised,Hypercalcemia  Hyperparathyroidism  Parathyroid Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000570/human_med_000903.jsp,H05BX01,EMEA/H/C/000570,"Treatment of secondary hyperparathyroidism (HPT) in patients with end-stage renal disease (ESRD) on maintenance dialysis therapy.
Mimpara may be used as part of a therapeutic regimen including phosphate binders and / or vitamin-D sterols, as appropriate.
Reduction of hypercalcaemia in patients with:

parathyroid carcinoma;
primary HPT for whom parathyroidectomy would be indicated on the basis of serum calcium levels (as defined by relevant treatment guidelines), but in whom parathyroidectomy is not clinically appropriate or is contraindicated.
",Q193978,,407990,,
583,Mirapexin,pramipexole dihydrochloride monohydrate,1998-02-23,Authorised,Parkinson Disease  Restless Legs Syndrome,index.jsp?curl=pages/medicines/human/medicines/000134/human_med_000904.jsp,N04BC05,EMEA/H/C/000134,"Mirapexin is indicated for treatment of the signs and symptoms of idiopathic Parkinson's disease, alone (without levodopa) or in combination with levodopa, i.e. over the course of the disease, through to late stages when the effect of levodopa wears off or becomes inconsistent and fluctuations of the therapeutic effect occur (end-of-dose or 'on-off' fluctuations).
Mirapexin is indicated for symptomatic treatment of moderate to severe idiopathic restless-legs syndrome in dosages up to 0.54 mg of base (0.75 mg of salt).",Q421304,,746741,,
584,Mircera,methoxy polyethylene glycol-epoetin beta,2007-07-20,Authorised,"Anemia  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000739/human_med_000905.jsp,B03XA03,EMEA/H/C/000739,"Treatment of symptomatic anaemia associated with chronic kidney disease (CKD).
The safety and efficacy of Mircera therapy in other indications has not been established.",Q22075840,,,,
585,Mirvaso,brimonidine tartrate,2014-02-21,Authorised,Skin Diseases,index.jsp?curl=pages/medicines/human/medicines/002642/human_med_001728.jsp,D11AX21,EMEA/H/C/002642,Mirvaso is indicated for the symptomatic treatment of facial erythema of rosacea in adult patients.,Q577377,,134615,,
586,Mixtard,insulin human,2002-10-07,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000428/human_med_000906.jsp,A10AD01,EMEA/H/C/000428,Treatment of diabetes mellitus.,Q39798,,,,
587,Modigraf,tacrolimus,2009-05-15,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/000954/human_med_000908.jsp,L04AD02,EMEA/H/C/000954,"Prophylaxis of transplant rejection in adult and paediatric, kidney, liver or heart allograft recipients.
Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult and paediatric patients.",Q411648,,235991,,
588,Monotard,insulin human,2002-10-07,Withdrawn,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000440/human_med_000909.jsp,A10AC01,EMEA/H/C/000440,Treatment of diabetes mellitus.,Q39798,,,,
589,Moventig,naloxegol oxalate,2014-12-08,Authorised,Constipation  Opioid-Related Disorders,index.jsp?curl=pages/medicines/human/medicines/002810/human_med_001816.jsp,A06AH03,EMEA/H/C/002810,Treatment of opioid-induced constipation (OIC) in adult patients who have had an inadequate response to laxative(s).,Q15708351,,1551777,,
590,Mozobil,plerixafor,2009-07-31,Authorised,Hematopoietic Stem Cell Transplantation  Lymphoma  Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/001030/human_med_000910.jsp,L03AX16,EMEA/H/C/001030,Mozobil is indicated in combination with granulocyte-colony-stimulating factor to enhance mobilisation of haematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with lymphoma and multiple myeloma whose cells mobilise poorly (see section 4.2).,Q905835,,733003,,
591,Multaq,dronedarone,2009-11-26,Authorised,Atrial Fibrillation,index.jsp?curl=pages/medicines/human/medicines/001043/human_med_001207.jsp,C01BD07,EMEA/H/C/001043,"Multaq is indicated for the maintenance of sinus rhythm after successful cardioversion in adult clinically stable patients with paroxysmal or persistent atrial fibrillation (AF). Due to its safety profile, Multaq should only be prescribed after alternative treatment options have been considered.
Multaq should not be given to patients with left ventricular systolic dysfunction or to patients with current or previous episodes of heart failure.",Q408637,,233698,,
592,Mycamine,micafungin,2008-04-25,Authorised,Candidiasis,index.jsp?curl=pages/medicines/human/medicines/000734/human_med_000911.jsp,J02AX05,EMEA/H/C/000734,"Mycamine is indicated for:
Adults, adolescents  16 years of age and elderly

treatment of invasive candidiasis;
treatment of oesophageal candidiasis in patients for whom intravenous therapy is appropriate;
prophylaxis of Candida infection in patients undergoing allogeneic haematopoietic stem-cell transplantation or patients who are expected to have neutropenia (absolute neutrophil count  500 cells/l) for 10 or more days.

Children (including neonates) and adolescents  16 years of age

treatment of invasive candidiasis.
prophylaxis of Candida infection in patients undergoing allogeneic haematopoietic stem-cell transplantation or patients who are expected to have neutropenia (absolute neutrophil count  500 cells/l) for 10 or more days.

The decision to use Mycamine should take into account a potential risk for the development of liver tumours. Mycamine should therefore only be used if other antifungals are not appropriate.",Q6827850,,325887,,
593,Myclausen,mycophenolate mofetil,2010-10-07,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/001218/human_med_001392.jsp,L04AA06,EMEA/H/C/001218,"Myclausen is indicated in combination with ciclosporin and corticosteroids for the prophylaxis of acute transplant rejection in patients receiving allogeneic renal, cardiac or hepatic transplants.",Q420553,,7145,,
594,Mycograb,recombinant human monoclonal antibody to hsp,2007-05-22,Refused,Candidiasis,index.jsp?curl=pages/medicines/human/medicines/000658/human_med_000912.jsp,J02,EMEA/H/C/000658,"Treatment of invasive candidiasis in adult patients, in combination with amphotericin B or a lipid formulation of amphotericin B.",,,,,
595,Mycophenolate mofetil Teva,mycophenolate mofetil,2008-02-21,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/000882/human_med_000913.jsp,L04AA06,EMEA/H/C/000882,"Mycophenolate mofetil Teva is indicated in combination with ciclosporin and corticosteroids for the prophylaxis of acute transplant rejection in patients receiving allogeneic renal, cardiac or hepatic transplants.",Q420553,,7145,,
596,Myfenax,mycophenolate mofetil,2008-02-21,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/000884/human_med_000914.jsp,L04AA06,EMEA/H/C/000884,"Myfenax is indicated in combination with ciclosporin and corticosteroids for the prophylaxis of acute transplant rejection in patients receiving allogeneic renal, cardiac or hepatic transplants.",Q420553,,7145,,
597,Mylotarg,gemtuzumab ozogamicin,2008-04-14,Refused,"Leukemia, Myeloid, Acute",index.jsp?curl=pages/medicines/human/medicines/000705/human_med_000915.jsp,L01XC05,EMEA/H/C/000705,"re-induction treatment of CD33-positive AML adult patients in first relapse who are not candidates for other intensive re-induction chemotherapy regimens (e.g. high-dose Ara-C) and meet at least one of the following criteria: duration of first remission 12 months, or age 60 years.",Q412685,,,,
598,Myocet,doxorubicin hydrochloride,2000-07-13,Authorised,Breast Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000297/human_med_000916.jsp,L01DB01,EMEA/H/C/000297,"Myocet, in combination with cyclophosphamide, is indicated for the first-line treatment of metastatic breast cancer in adult women.",Q18936,,3639,,
599,Myozyme,alglucosidase alfa,2006-03-29,Authorised,Glycogen Storage Disease Type II,index.jsp?curl=pages/medicines/human/medicines/000636/human_med_000917.jsp,A16AB07,EMEA/H/C/000636,"Myozyme is indicated for long-term enzyme-replacement therapy (ERT) in patients with a confirmed diagnosis of Pompe disease (acid--glucosidase deficiency).
In patients with late-onset Pompe disease the evidence of efficacy is limited.",Q2919537,,,,
600,Mysildecard,sildenafil citrate,2016-09-15,Authorised,"Hypertension, Pulmonary",index.jsp?curl=pages/medicines/human/medicines/004186/human_med_002027.jsp,G04BE03,EMEA/H/C/004186,"AdultsTreatment of adult patients with pulmonary arterial hypertension classified as WHO functional class II and III, to improve exercise capacity. Efficacy has been shown in primary pulmonary hypertension and pulmonary hypertension associated with connective tissue disease.Paediatric populationTreatment of paediatric patients aged 1 year to 17 years old with pulmonary arterial hypertension. Efficacy in terms of improvement of exercise capacity or pulmonary haemodynamics has been shown in primary pulmonary hypertension and pulmonary hypertension associated with congenital heart disease (see section 5.1).",Q191521,,136411,,
601,Mysimba,bupropion hydrochloride / naltrexone hydrochloride,2015-03-26,Authorised,Obesity  Overweight,index.jsp?curl=pages/medicines/human/medicines/003687/human_med_001845.jsp,A08AA,EMEA/H/C/003687,"Mysimba is indicated, as an adjunct to a reduced-calorie diet and increased physical activity, for the management of weight in adult patients (18 years) with an initial Body Mass Index (BMI) of

 30 kg/m2 (obese), or
 27 kg/m2 to  30 kg/m2 (overweight) in the presence of one or more weight-related co morbidities (e.g., type 2 diabetes, dyslipidaemia, or controlled hypertension)

Treatment with Mysimba should be discontinued after 16 weeks if patients have not lost at least 5% of their initial body weight (see Section 5.1).",,"['Q27295463', 'Q27096434']",,"['203204', '105069']",1551469
602,Naglazyme,galsulfase,2006-01-24,Authorised,Mucopolysaccharidosis VI,index.jsp?curl=pages/medicines/human/medicines/000640/human_med_000918.jsp,A16AB,EMEA/H/C/000640,"Naglazyme is indicated for long-term enzyme-replacement therapy in patients with a confirmed diagnosis of mucopolysaccharidosis VI (MPS VI; N-acetylgalactosamine-4-sulfatase deficiency; Maroteaux-Lamy syndrome) (see section 5.1).
As for all lysosomal genetic disorders, it is of primary importance, especially in severe forms, to initiate treatment as early as possible, before appearance of non-reversible clinical manifestations of the disease.
A key issue is to treat young patients aged 5 years suffering from a severe form of the disease, even though patients 5 years were not included in the pivotal phase-3 study.",Q17400905,,,,
603,Natalizumab Elan Pharma,natalizumab,2008-01-11,Refused,Crohn Disease,index.jsp?curl=pages/medicines/human/medicines/000624/human_med_000919.jsp,L03AD,EMEA/H/C/000624,"Treatment of moderately to severely active Crohn's disease for the reduction of signs and symptoms, and the induction and maintenance of sustained response and remission, in patients who have not responded despite a full and adequate course of therapy with a corticosteroid and an immunosuppressant; or are intolerant to or have medical contraindications to such therapies.",Q386119,,,,
604,Nemdatine,memantine,2013-04-22,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002680/human_med_001638.jsp,N06DX01,EMEA/H/C/002680,Treatment of patients with moderate to severe Alzheimers disease,Q412189,,6719,,
605,Neoclarityn,desloratadine,2001-01-15,Authorised,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal  Urticaria",index.jsp?curl=pages/medicines/human/medicines/000314/human_med_000920.jsp,R06AX27,EMEA/H/C/000314,"Neoclarityn is indicated for the relief of symptoms associated with:

allergic rhinitis 
urticaria
",Q418060,,275635,,
606,Neofordex,dexamethasone,2016-03-16,Authorised,Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/004071/human_med_001960.jsp,H02AB02,EMEA/H/C/004071,Treatment of multiple myeloma.,Q422252,,3264,,
607,NeoRecormon,epoetin beta,1997-07-16,Authorised,"Anemia  Blood Transfusion, Autologous  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000116/human_med_000921.jsp,B03XA01,EMEA/H/C/000116,"
Treatment of symptomatic anaemia associated with chronic renal failure (CRF) in adult and paediatric patients;
treatment of symptomatic anaemia in adult patients with non-myeloid malignancies receiving chemotherapy;
increasing the yield of autologous blood from patients in a pre-donation programme. Its use in this indication must be balanced against the reported increased risk of thromboembolic events. Treatment should only be given to patients with moderate anaemia (Hb 10 - 13 g/dl [6.21 - 8.07 mmol/l], no iron deficiency) if blood conserving procedures are not available or insufficient when the scheduled major elective surgery requires a large volume of blood (4 or more units of blood for females or 5 or more units for males).
",,,,,
608,NeoSpect,depreotide trifluoroacetate,2000-11-29,Withdrawn,Radionuclide Imaging,index.jsp?curl=pages/medicines/human/medicines/000263/human_med_000922.jsp,V09IA05,EMEA/H/C/000263,"This medicinal product is for diagnostic use only.For scintigraphic imaging of suspected malignant tumours in the lung after initial detection, incombination with CT scan or chest X-ray, in patients with solitary pulmonary nodules.",Q27258368,,,,
609,Neparvis,sacubitril / valsartan,2016-05-26,Authorised,Heart Failure,index.jsp?curl=pages/medicines/human/medicines/004343/human_med_001982.jsp,C09DX04,EMEA/H/C/004343,Neparvis is indicated in adult patients for treatment of symptomatic chronic heart failure with reduced ejection fraction.,,"['Q17811448', 'Q155472']",,"['1656328', '69749']",1656339
610,Nerventra,laquinimod,2014-08-19,Refused,Multiple Sclerosis,index.jsp?curl=pages/medicines/human/medicines/002546/human_med_001729.jsp,N07,EMEA/H/C/002546,Treatment of multiple sclerosis,Q3487584,,,,
611,Nespo,darbepoetin alfa,2001-06-08,Withdrawn,"Anemia  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000333/human_med_000923.jsp,B03XA02,EMEA/H/C/000333,Treatment of symptomatic anaemia associated with chronic renal failure (CRF) in adults and paediatric patients.Treatment of symptomatic anaemia in adult cancer patients with non-myeloid malignancies receiving chemotherapy.,Q2178381,,,,
612,Neulasta,pegfilgrastim,2002-08-22,Authorised,Cancer  Neutropenia,index.jsp?curl=pages/medicines/human/medicines/000420/human_med_000924.jsp,L03AA13,EMEA/H/C/000420,Reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes).,Q1592932,,,,
613,Neupopeg,pegfilgrastim,2002-08-22,Withdrawn,Cancer  Neutropenia,index.jsp?curl=pages/medicines/human/medicines/000422/human_med_000925.jsp,L03AA13,EMEA/H/C/000422,Reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes).,Q1592932,,,,
614,Neupro,rotigotine,2006-02-15,Authorised,Parkinson Disease  Restless Legs Syndrome,index.jsp?curl=pages/medicines/human/medicines/000626/human_med_000926.jsp,N04BC09,EMEA/H/C/000626,"Parkinson's disease:Neupro is indicated for the treatment of the signs and symptoms of early-stage idiopathic Parkinson's disease as monotherapy (i.e. without levodopa) or in combination with levodopa, i.e. over the course of the disease, through to late stages when the effect of levodopa wears off or becomes inconsistent and fluctuations of the therapeutic effect occur (end of dose or 'on-off' fluctuations).Restless-legs syndrome:Neupro is indicated for the symptomatic treatment of moderate to severe idiopathic restless-legs syndrome in adults.",Q411985,,616739,,
