,Product,EU Designation,Designated Orphan Indication,Sponsor,Designation date,TradenameEU Centralised NrImplemented on,drug_qid,indication,doid,hpo,ordo,mesh,indication_qid_doid,indication_qid_ordo,indication_qid_mesh
699,Human monoclonal antibody against Pseudomonas aeruginosa serotype O11,EU/3/06/381,Treatment of pneumonia caused by serotype O11 Pseudomonas aeruginosa,Envestia Limited,29/06/2006,,,pneumonia caused by serotype o11 pseudomonas eruginosa,,,,,,,
700,Human monoclonal antibody targeting Staphylococcus aureus alpha-toxin,EU/3/12/968,Treatment of pneumonia caused by Staphylococcus aureus,Envestia Limited,05/03/2012,,,pneumonia caused by staphylococcus aureus,,,,,,,
701,Human monoclonal IgG1 antibody against tissue factor pathway inhibitor,EU/3/16/1752,Treatment of haemophilia A,Pfizer Limited,14/10/2016,,,hemophilia a,,,http://www.orpha.net/ORDO/Orphanet_121677,D006467,,,Q2092064
702,Human/murine chimeric monoclonal antibody against endoglin,EU/3/16/1648,Treatment of soft tissue sarcoma,Tracon Pharma Limited,28/04/2016,,,soft tissue sarcoma,,http://purl.obolibrary.org/obo/HP_0030448,http://www.orpha.net/ORDO/Orphanet_3394,D012509,,,Q18975788
703,Human papilloma virus type 16 E6/E7 synthetic long peptides,EU/3/07/520,Treatment of epithelial neoplasia of the vulva positive for human papilloma virus,ISA Therapeutics B.V.,20/12/2007,,,epithelial neoplasia of the vulva positive for human papilloma virus,,,,,,,
704,Human plasma-derived alpha-1 proteinase inhibitor,EU/3/15/1455,Treatment of graft-versus-host disease,Kamada BioPharma Limited,19/03/2015,,,graftversushost disease,,,,D006086,,,Q1194520
705,Human plasmin,EU/3/10/834,Treatment of acute peripheral arterial occlusion,Grifols Deutschland GmbH,23/02/2011,,,acute peripheral arterial occlusion,,,,,,,
706,Human plasminogen,EU/3/07/461,Treatment of ligneous conjunctivitis,Kedrion S.p.A.,03/08/2007,,,ligneos conjunctivitis,,,http://www.orpha.net/ORDO/Orphanet_97231,,,,
707,Human plasminogen,EU/3/15/1511,Treatment of plasminogen deficiency,ProMetic BioTherapeutics Ltd,28/07/2015,,,plasminogen deficiency,,,,,,,
708,Human platelet antigen-1a immunoglobulin,EU/3/11/922,Prevention of fetal and neonatal alloimmune thrombocytopenia due to human platelet antigen-1a incompatibility,Prophylix Pharma AS,27/10/2011,,,fetal and neonatal alloimmune thrombocytopenia due to human platelet antigen1a incompatibility,,,,,,,
709,Human reovirus type 3 Dearing strain,EU/3/15/1469,Treatment of ovarian cancer,Oncolytics Biotech (UK) Limited,19/03/2015,,,ovarian cancer,http://purl.obolibrary.org/obo/DOID_2394,,http://www.orpha.net/ORDO/Orphanet_213500,D010051,Q172341,,Q172341
710,Human reovirus type 3 Dearing strain,EU/3/15/1477,Treatment of pancreatic cancer,Oncolytics Biotech (UK) Limited,24/04/2015,,,pancreatic cancer,http://purl.obolibrary.org/obo/DOID_1793,http://purl.obolibrary.org/obo/HP_0002894,,D010190,Q212961,,Q212961
711,Human Staphylococcus aureus immunoglobulin,EU/3/05/319,Treatment of Staphylococcus aureus bacteremia,Biotest Pharma GmbH,28/10/2005,,,staphylococcus aureus bacteremia,,,,,,,
712,Human telomerase reverse transcriptase peptide (611-626),EU/3/06/384,Treatment of pancreatic cancer,Gemvax A/S,25/07/2006,,,pancreatic cancer,http://purl.obolibrary.org/obo/DOID_1793,http://purl.obolibrary.org/obo/HP_0002894,,D010190,Q212961,,Q212961
713,Human tumour necrosis factor alfa-derived peptide Cys-Gly-Gln-Arg-Glu-Thr-Pro-Glu-Gly-Ala-Glu-Ala-Lys-Pro-Trp-Tyr-Cys,EU/3/09/677,Treatment of acute lung injury,Apeptico Forschung und Entwicklung GmbH,08/10/2009,,,acute lung injury,,,http://www.orpha.net/ORDO/Orphanet_178320,D055371,,,
714,Humanised anti-alpha ? beta 6 monoclonal antibody,EU/3/14/1301,Treatment of idiopathic pulmonary fibrosis,Biogen Idec Limited,29/07/2014,,,idiopathic pulmonary fibrosis,http://purl.obolibrary.org/obo/DOID_0050156,,http://www.orpha.net/ORDO/Orphanet_2032,D054990,Q2290446,,Q2290446
715,Humanised antibody fragment (Ep-CAM)-truncated Pseudomonas exotoxin A fusion protein,EU/3/05/290,Treatment of Ep-CAM-positive squamous cell carcinoma of the head and neck,Viventia Biotech (EU) Limited,20/06/2005,,,epcampositive squamos cell carcinoma of the head and neck,,,,,,,
716,Humanised anti-CD37 monoclonal antibody conjugated to maytansinoid DM1,EU/3/15/1494,Treatment of diffuse large B-cell lymphoma,ImmunoGen Europe Limited,21/05/2015,,,diffuse large bcell lymphoma,http://purl.obolibrary.org/obo/DOID_0050745,,http://www.orpha.net/ORDO/Orphanet_544,,Q2626074,,
717,Humanised anti-folate receptor 1 monoclonal antibody conjugated to maytansinoid DM4,EU/3/15/1458,Treatment of ovarian cancer,ImmunoGen Europe Limited,19/03/2015,,,ovarian cancer,http://purl.obolibrary.org/obo/DOID_2394,,http://www.orpha.net/ORDO/Orphanet_213500,D010051,Q172341,,Q172341
718,Humanised anti-IL-6 receptor monoclonal antibody,EU/3/16/1680,Treatment of neuromyelitis optica spectrum disorders,Chugai Pharma Europe Ltd,27/06/2016,,,neuromyelitis optica spectrum disorders,,,,D009471,,,Q611458
719,Humanised Fc engineered monoclonal antibody against CD19,EU/3/14/1286,Treatment of chronic lymphocytic leukaemia / small lymphocytic lymphoma,MorphoSys AG,04/07/2014,,,chronic lymphocytic leukemia / small lymphocytic lymphoma,,,,,,,
720,Humanised Fc engineered monoclonal antibody against CD19,EU/3/14/1424,Treatment of diffuse large B-cell lymphoma,MorphoSys AG,15/01/2015,,,diffuse large bcell lymphoma,http://purl.obolibrary.org/obo/DOID_0050745,,http://www.orpha.net/ORDO/Orphanet_544,,Q2626074,,
721,Humanised fusion protein consisting of extracellular domain of CD24 linked to IgG1 Fc domain,EU/3/15/1575,Prevention of graft-versus-host disease,Enpharma Ltd,11/11/2015,,,graftversushost disease,,,,D006086,,,Q1194520
722,Humanised IgG1 kappa antibody against serum amyloid A and AL amyloid,EU/3/13/1100,Treatment of amyloid light-chain amyloidosis,Prothena Therapeutics Limited,08/02/2013,,,amyloid lightchain amyloidosis,,,,,,,
723,Humanised IgG1 monoclonal antibody against human eotaxin-2,EU/3/14/1371,Treatment of systemic sclerosis,FGK Representative Service GmbH,19/11/2014,,Q27291473,systemic sclerosis,http://purl.obolibrary.org/obo/DOID_418,,http://www.orpha.net/ORDO/Orphanet_90291,D012595,Q5340515,,Q5340515
724,Humanised IgG1 monoclonal antibody against human KIR3DL2,EU/3/14/1322,Treatment of cutaneous T-cell lymphoma,Innate Pharma S.A.,22/08/2014,,,cutaneos tcell lymphoma,http://purl.obolibrary.org/obo/DOID_0060061,http://purl.obolibrary.org/obo/HP_0012192,,D016410,Q5196687,,Q5196687
725,Humanised IgG1 monoclonal antibody against the receptor-binding site of human placental growth factor,EU/3/16/1819,Treatment of medulloblastoma,Oncurious NV,12/01/2017,,,medulloblastoma,http://purl.obolibrary.org/obo/DOID_0050902,http://purl.obolibrary.org/obo/HP_0002885,http://www.orpha.net/ORDO/Orphanet_616,D008527,Q1333608,,Q18556102
726,Humanised IgG4 monoclonal antibody against extracellular tau,EU/3/15/1522,Treatment of progressive supranuclear palsy,Bristol-Myers Squibb Pharma EEIG,28/07/2015,,,progressive supranuclear palsy,http://purl.obolibrary.org/obo/DOID_678,,http://www.orpha.net/ORDO/Orphanet_683,D013494,Q945930,Q945930,Q945930
727,"Humanised IgG4 monoclonal antibody against total complement component 1, subcomponent s",EU/3/16/1609,Treatment of autoimmune haemolytic anaemia,Assign Group Development UK Ltd,17/02/2016,,,autoimmune hemolytic anemia,http://purl.obolibrary.org/obo/DOID_718,http://purl.obolibrary.org/obo/HP_0001890,http://www.orpha.net/ORDO/Orphanet_98375,D000744,Q28814,,Q28814
728,Humanised IgG4 monoclonal antibody to the human toll-like receptor type 2,EU/3/09/638,Prevention of the ischaemia/reperfusion injury associated with solid organ transplantation,Opsona Therapeutics Limited,15/05/2009,,,the ischemia/reperfusion injury associated with solid organ transplantation,,,,,,,
729,Humanised monoclonal antibody against CD38,EU/3/14/1268,Treatment of plasma cell myeloma,Sanofi-Aventis groupe,29/04/2014,,,plasma cell myeloma,http://purl.obolibrary.org/obo/DOID_9538,,http://www.orpha.net/ORDO/Orphanet_29073,D009101,Q467635,,Q467635
730,Humanised monoclonal antibody against myostatin,EU/3/13/1105,Treatment of Duchenne muscular dystrophy,Pfizer Limited,08/02/2013,,,duchenne muscular dystrophy,http://purl.obolibrary.org/obo/DOID_11723,,http://www.orpha.net/ORDO/Orphanet_98896,D020388,Q1648484,,Q1648484
731,Humanised monoclonal antibody against P-selectin,EU/3/12/1034,Treatment of sickle cell disease,Quintiles Ireland Ltd,09/08/2012,,,sickle cell disease,,,http://www.orpha.net/ORDO/Orphanet_232,D000755,,,Q185034
732,Humanised monoclonal antibody of the IgG4 kappa isotype targeting CD47,EU/3/15/1582,Treatment of acute myeloid leukaemia,ICON Clinical Research Limited,11/11/2015,,,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
733,Humanised monoclonal antibody targeting interleukin-15,EU/3/16/1681,Treatment of eosinophilic oesophagitis,Dr Alain Vicari,27/06/2016,,,eosinophilic oesophagitis,,,,,,,
734,Humanised monoclonal antibody to the folate receptor alpha,EU/3/08/535,Treatment of ovarian cancer,Eisai Europe Limited,01/04/2008,,,ovarian cancer,http://purl.obolibrary.org/obo/DOID_2394,,http://www.orpha.net/ORDO/Orphanet_213500,D010051,Q172341,,Q172341
735,Humanised monoclonal IgG4 antibody against tissue factor pathway inhibitor,EU/3/12/1052,Treatment of haemophilia A,Novo Nordisk A/S,10/10/2012,,,hemophilia a,,,http://www.orpha.net/ORDO/Orphanet_121677,D006467,,,Q2092064
736,"Humanised monoclonal modified IgG4 antibody with bispecific structure targeting factors IX, IXa, X and Xa",EU/3/13/1221,Treatment of haemophilia A,Roche Registration Limited,18/12/2013,,,hemophilia a,,,http://www.orpha.net/ORDO/Orphanet_121677,D006467,,,Q2092064
737,Humanised recombinant IgG4 anti-human tau antibody,EU/3/16/1649,Treatment of progressive supranuclear palsy,AbbVie Ltd,28/04/2016,,Q27256246,progressive supranuclear palsy,http://purl.obolibrary.org/obo/DOID_678,,http://www.orpha.net/ORDO/Orphanet_683,D013494,Q945930,Q945930,Q945930
738,Humanised recombinant monoclonal antibody against epidermal growth factor receptor conjugated to maleimidocaproyl monomethylauristatin F,EU/3/14/1305,Treatment of glioma,AbbVie Ltd,29/07/2014,,,glioma,http://purl.obolibrary.org/obo/DOID_3070,http://purl.obolibrary.org/obo/HP_0009733,http://www.orpha.net/ORDO/Orphanet_182067,D005910,Q1365309,Q1365309,Q18556612
739,Humanised single chain monoclonal antibody against CD37,EU/3/12/1083,Treatment of chronic lymphocytic leukaemia,Emergent Product Development UK Limited,06/12/2012,,,chronic lymphocytic leukemia,http://purl.obolibrary.org/obo/DOID_1040,http://purl.obolibrary.org/obo/HP_0005550,,D015451,Q1088156,,Q1088156
740,Humanized Agonistic Anti-CD28 Monoclonal Antibody,EU/3/05/276,Treatment of B-cell Chronic Lymphocytic Leukaemia (B-CLL),TeGenero AG,11/04/2005,,,bcell chronic lymphocytic leukemia (bcll),,,,,,,
741,Hydrocinnamate-[Orn-Pro-dCha-Trp-Arg]acetate,EU/3/15/1527,Treatment of amyotrophic lateral sclerosis,PBS Regulatory Consulting Group Limited,28/07/2015,,,amyotrophic lateral sclerosis,http://purl.obolibrary.org/obo/DOID_332,http://purl.obolibrary.org/obo/HP_0007354,http://www.orpha.net/ORDO/Orphanet_803,D000690,Q206901,Q21124521,Q206901
742,Hydrocortisone (modified release tablet),EU/3/05/296,Treatment of congenital adrenal hyperplasia,Diurnal Limited,27/07/2005,,,congenital adrenal hyperplasia,http://purl.obolibrary.org/obo/DOID_0050811,http://purl.obolibrary.org/obo/HP_0008258,http://www.orpha.net/ORDO/Orphanet_418,D000312,Q366868,Q366868,Q4127186
743,Hydrocortisone (modified release tablet),EU/3/06/372,Treatment of adrenal insufficiency,Shire Services BVBA,22/05/2006,PlenadrenEU/1/11/71514/11/2011,,adrenal insufficiency,,http://purl.obolibrary.org/obo/HP_0000846,,D000309,,,Q2507454
744,Hydrocortisone (modified release tablet),EU/3/07/441,Treatment of adrenal insufficiency,Diurnal Limited,20/03/2007,,,adrenal insufficiency,,http://purl.obolibrary.org/obo/HP_0000846,,D000309,,,Q2507454
745,Hydroxychloroquine,EU/3/16/1820,Treatment of antiphospholipid syndrome,Centre Hospitalier Universitaire d'Angers,12/01/2017,,Q421094,antiphospholipid syndrome,http://purl.obolibrary.org/obo/DOID_2988,,,D016736,Q582207,,Q582207
746,Hydroxy-propyl-beta-cyclodextrin,EU/3/11/895,"Treatment of Niemann-Pick disease, type C",Medical Need Europe AB,30/08/2011,,,"niemannpick disease, type c",,,,D052556,,,Q2067267
747,Hydroxyurea,EU/3/03/154,Treatment of sickle cell syndrome,Addmedica SAS,09/07/2003,SiklosEU/1/07/39705/07/2007,Q212272,sickle cell syndrome,,,,,,,
748,Hypothiocyanite / lactoferrin,EU/3/09/654,Treatment of cystic fibrosis,Alaxia,24/07/2009,,,cystic fibrosis,http://purl.obolibrary.org/obo/DOID_1485,,http://www.orpha.net/ORDO/Orphanet_586,D003550,Q178194,,Q178194
749,Ibrutinib,EU/3/13/1203,Treatment of diffuse large B-cell lymphoma,Janssen-Cilag International NV,13/11/2013,,Q5984881,diffuse large bcell lymphoma,http://purl.obolibrary.org/obo/DOID_0050745,,http://www.orpha.net/ORDO/Orphanet_544,,Q2626074,,
750,Ibrutinib,EU/3/13/1212,Treatment of follicular lymphoma,Janssen-Cilag International NV,18/12/2013,,Q5984881,follicular lymphoma,http://purl.obolibrary.org/obo/DOID_0050873,,http://www.orpha.net/ORDO/Orphanet_545,D008224,Q123251,,
751,Ibrutinib,EU/3/14/1264,Treatment of lymphoplasmacytic lymphoma,Janssen-Cilag International NV,29/04/2014,IMBRUVICAEU/1/14/94507/07/2015,Q5984881,lymphoplasmacytic lymphoma,http://purl.obolibrary.org/obo/DOID_0050747,,,,Q1778287,,
752,Ibrutinib,EU/3/15/1541,Treatment of marginal zone lymphoma,Janssen-Cilag International NV,10/08/2015,,Q5984881,marginal zone lymphoma,http://purl.obolibrary.org/obo/DOID_0050748,,http://www.orpha.net/ORDO/Orphanet_300912,,Q18553449,,
753,Ibrutinib,EU/3/16/1780,Treatment of graft-versus-host disease,Janssen-Cilag International NV,18/11/2016,,Q5984881,graftversushost disease,,,,D006086,,,Q1194520
754,Ibudilast,EU/3/16/1801,Treatment of amyotrophic lateral sclerosis,MediciNova (Europe) Limited,12/12/2016,,Q261167,amyotrophic lateral sclerosis,http://purl.obolibrary.org/obo/DOID_332,http://purl.obolibrary.org/obo/HP_0007354,http://www.orpha.net/ORDO/Orphanet_803,D000690,Q206901,Q21124521,Q206901
755,Icatibant acetate,EU/3/03/133,treatment of angioedema,Shire Orphan Therapies GmbH,17/02/2003,FirazyrEU/1/08/46115/07/2008,Q27256146,angioedema,http://purl.obolibrary.org/obo/DOID_1558,http://purl.obolibrary.org/obo/HP_0100665,,D000799,Q1129007,,Q1129007
756,Idebenone,EU/3/01/062,Treatment of Friedreich&#8217;s ataxia,Laboratoires Takeda,20/11/2001,,Q4197874,friedreichs ataxia,http://purl.obolibrary.org/obo/DOID_12705,,,D005621,Q913856,,Q913856
757,Idebenone,EU/3/04/189,Treatment of Friedreich&#8217;s ataxia,Santhera Pharmaceuticals (Deutschland) GmbH,08/03/2004,,Q4197874,friedreichs ataxia,http://purl.obolibrary.org/obo/DOID_12705,,,D005621,Q913856,,Q913856
758,Idebenone,EU/3/07/434,Treatment of Leber's hereditary optic neuropathy,Santhera Pharmaceuticals (Deutschland) GmbH,15/02/2007,RaxoneEU/1/15/102010/09/2015,Q4197874,lebers hereditary optic neuropathy,http://purl.obolibrary.org/obo/DOID_705,,,D029242,Q1262161,,Q1262161
759,Idebenone,EU/3/07/437,Treatment of Duchenne muscular dystrophy,Santhera Pharmaceuticals (Deutschland) GmbH,20/03/2007,,Q4197874,duchenne muscular dystrophy,http://purl.obolibrary.org/obo/DOID_11723,,http://www.orpha.net/ORDO/Orphanet_98896,D020388,Q1648484,,Q1648484
760,"IL-12-secreting dendritic cells, loaded with autologous tumour lysate",EU/3/12/1058,Treatment of glioma,Activartis Biotech GmbH,08/11/2012,,,glioma,http://purl.obolibrary.org/obo/DOID_3070,http://purl.obolibrary.org/obo/HP_0009733,http://www.orpha.net/ORDO/Orphanet_182067,D005910,Q1365309,Q1365309,Q18556612
761,Imatinib,EU/3/14/1357,Treatment of acute respiratory distress syndrome,Numedicus Limited,19/11/2014,,Q177094,acute respiratory distress syndrome,,,,D012128,,,Q7315912
762,Imetelstat sodium,EU/3/15/1593,Treatment of myelofibrosis,Janssen-Cilag International NV,14/12/2015,,,myelofibrosis,http://purl.obolibrary.org/obo/DOID_4971,http://purl.obolibrary.org/obo/HP_0011974,,D055728,Q1752571,,Q1752571
763,Imexon,EU/3/05/341,Treatment of ovarian cancer,ICON Clinical Research (U.K.) Limited,23/12/2005,,Q6003924,ovarian cancer,http://purl.obolibrary.org/obo/DOID_2394,,http://www.orpha.net/ORDO/Orphanet_213500,D010051,Q172341,,Q172341
764,Immortalised human C3A hepatoblastoma cells,EU/3/13/1143,Treatment of acute liver failure,Vital Therapies Limited,19/06/2013,,,acute liver failure,,http://purl.obolibrary.org/obo/HP_0006554,http://www.orpha.net/ORDO/Orphanet_90062,D017114,,,
765,"Immunoglobulin G1, anti-(human tumour-associated calcium signal transducer 2)(human-Mus musculus monoclonal hRS7 heavy chain), disulfide with human-Mus musculus monoclonal hRS7 k-chain, dimer, hexakis(thioether) with (4S)-4-[[[[4-[[(2S)-2-(4-aminobutyl)-2-[[2-[2-[[26-[4-[[[[4-[(3-mercapto-2,5-dioxo-1-pyrrolidinyl)methyl]cyclohexyl]carbonyl]amino]methyl]-1H-1,2,3-triazol-1-yl]-3,6,9,12,15,18,21,24-octaoxahexacos-1-yl]amino]-2-oxoethoxy]acetyl]amino]-1-oxoethyl]amino]phenyl]methoxy]carbonyl]oxy]-4,11-diethyl-9-hydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",EU/3/14/1343,Treatment of pancreatic cancer,Immunomedics GmbH,15/10/2014,,,pancreatic cancer,http://purl.obolibrary.org/obo/DOID_1793,http://purl.obolibrary.org/obo/HP_0002894,,D010190,Q212961,,Q212961
766,Inecalcitol,EU/3/13/1223,Treatment of chronic lymphocytic leukaemia / small lymphocytic lymphoma,Hybrigenics SA,16/01/2014,,Q27078058,chronic lymphocytic leukemia / small lymphocytic lymphoma,,,,,,,
767,Inecalcitol,EU/3/15/1523,Treatment of acute myeloid leukaemia,Hybrigenics SA,28/07/2015,,Q27078058,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
768,Inolimomab,EU/3/01/028,Treatment of Graft versus Host Disease,Jazz Pharmaceuticals France SAS,05/03/2001,,Q3799026,graft versus host disease,,,http://www.orpha.net/ORDO/Orphanet_39812,D006086,,,Q1194520
769,Inotuzumab ozogamicin,EU/3/13/1127,Treatment of B-cell acute lymphoblastic leukaemia,Pfizer Limited,07/06/2013,,Q3799041,bcell acute lymphoblastic leukemia,,,,,,,
770,Insulin human,EU/3/15/1532,Treatment of short bowel syndrome,Sirius Regulatory Consulting Limited,10/08/2015,,Q39798,short bowel syndrome,http://purl.obolibrary.org/obo/DOID_10605,,http://www.orpha.net/ORDO/Orphanet_104008,D012778,Q662272,,Q662272
771,Interferon alfa-n3,EU/3/15/1568,Treatment of Middle East respiratory syndrome,NV Hemispherx BioPharma Europe,11/11/2015,,Q6046446,middle east respiratory syndrome,,,,D018352,,,
772,Interferon beta,EU/3/07/505,Treatment of acute lung injury,Faron Pharmaceuticals Limited,29/11/2007,,Q27074716,acute lung injury,,,http://www.orpha.net/ORDO/Orphanet_178320,D055371,,,
773,Interferon gamma,EU/3/07/491,Treatment of idiopathic pulmonary fibrosis,mondoBIOTECH Laboratories AG,29/10/2007,,,idiopathic pulmonary fibrosis,http://purl.obolibrary.org/obo/DOID_0050156,,http://www.orpha.net/ORDO/Orphanet_2032,D054990,Q2290446,,Q2290446
774,Interferon gamma,EU/3/11/935,Treatment of Friedreich's ataxia,Horizon Pharma Ireland Limited,09/12/2011,,,friedreichs ataxia,http://purl.obolibrary.org/obo/DOID_12705,,,D005621,Q913856,,Q913856
775,Iodine (131I) chlorotoxin,EU/3/07/492,Treatment of glioma,Eisai Europe Limited,22/10/2007,,,glioma,http://purl.obolibrary.org/obo/DOID_3070,http://purl.obolibrary.org/obo/HP_0009733,http://www.orpha.net/ORDO/Orphanet_182067,D005910,Q1365309,Q1365309,Q18556612
776,Iodine (131I) iobenguane,EU/3/07/525,Treatment of neuroblastoma,Molecular Insight Limited,31/01/2008,,,neuroblastoma,http://purl.obolibrary.org/obo/DOID_769,http://purl.obolibrary.org/obo/HP_0003006,http://www.orpha.net/ORDO/Orphanet_635,D009447,Q938205,Q938205,Q938205
777,Irinotecan hydrochloride (drug eluting beads),EU/3/07/504,Treatment of glioma,Biocompatibles UK Limited,29/11/2007,,,glioma,http://purl.obolibrary.org/obo/DOID_3070,http://purl.obolibrary.org/obo/HP_0009733,http://www.orpha.net/ORDO/Orphanet_182067,D005910,Q1365309,Q1365309,Q18556612
778,Isavuconazonium sulfate,EU/3/14/1276,Treatment of mucormycosis,Basilea Medical Ltd,04/06/2014,CresembaEU/1/15/103619/10/2015,Q27158829,mucormycosis,,,http://www.orpha.net/ORDO/Orphanet_73263,D009091,,,Q6931254
779,Isavuconazonium sulfate,EU/3/14/1284,Treatment of invasive aspergillosis,Basilea Medical Ltd,04/07/2014,CresembaEU/1/15/103619/10/2015,Q27158829,invasive aspergillosis,http://purl.obolibrary.org/obo/DOID_0050073,,,,Q18553203,,
780,Isofagomine tartrate,EU/3/07/493,Treatment of Gaucher Disease,Amicus Therapeutics UK Ltd,23/10/2007,,,gaucher disease,http://purl.obolibrary.org/obo/DOID_1926,,http://www.orpha.net/ORDO/Orphanet_355,D005776,Q861645,Q861645,Q861645
781,Ivosidenib,EU/3/16/1802,Treatment of acute myeloid leukaemia,QRC Consultants Ltd,12/12/2016,,Q27895417,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
782,Ixazomib,EU/3/12/1060,Treatment of systemic light chain amyloidosis,Takeda Pharma A/S,08/11/2012,,Q20948663,systemic light chain amyloidosis,,,,,,,
783,Ketoconazole,EU/3/12/965,Treatment of Cushing&#8217;s syndrome,Laboratoire HRA Pharma,23/04/2012,Ketoconazole HRAEU/1/14/96521/11/2014,Q407883,cushings syndrome,http://purl.obolibrary.org/obo/DOID_12252,,http://www.orpha.net/ORDO/Orphanet_553,D003480,Q219102,,Q219102
784,Ketoconazole,EU/3/12/1031,Treatment of Cushing&#8217;s syndrome,Agenzia Industrie Difesa-Stabilimento Chimico Farmaceutico Militare,09/08/2012,,Q407883,cushings syndrome,http://purl.obolibrary.org/obo/DOID_12252,,http://www.orpha.net/ORDO/Orphanet_553,D003480,Q219102,,Q219102
785,"l, 1'-[1,4-phenylenebis (methylene)]-bis-1,4,8,11- tetraazacyclotetradecane",EU/3/04/227,Treatment to mobilize progenitor cells prior to stem cell transplantation,Genzyme Europe B.V.,20/10/2004,MozobilEU/1/09/53704/08/2009,,mobilise progenitor cells prior to stem cell transplantation,,,,,,,
786,Lactobacillus acidophilus and Bifidobacterium bifidum,EU/3/13/1213,Prevention of necrotising enterocolitis,Laboratorio Farmaceutico S.I.T. s.r.l.,18/12/2013,,,necrotising enterocolitis,,,,,,,
787,Lactobacillus reuteri,EU/3/15/1436,Prevention of necrotising enterocolitis,Infant Bacterial Therapeutics AB,12/02/2015,,,necrotising enterocolitis,,,,,,,
788,Lanreotide acetate,EU/3/15/1514,Treatment of autosomal dominant polycystic kidney disease,Prof. Dr R.T.Gansevoort,10/08/2015,,,autosomal dominant polycystic kidney disease,,,,,,,
789,L-asparaginase encapsulated in erythrocytes,EU/3/06/409,Treatment of acute lymphoblastic leukaemia,ERYtech Pharma S.A.,27/10/2006,,,acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/DOID_9952,http://purl.obolibrary.org/obo/HP_0006721,http://www.orpha.net/ORDO/Orphanet_513,D054198,Q180664,Q180664,Q6708277
790,L-asparaginase encapsulated in erythrocytes,EU/3/09/633,Treatment of pancreatic cancer,ERYtech Pharma S.A.,15/05/2009,,,pancreatic cancer,http://purl.obolibrary.org/obo/DOID_1793,http://purl.obolibrary.org/obo/HP_0002894,,D010190,Q212961,,Q212961
791,L-asparaginase encapsulated in erythrocytes,EU/3/13/1106,Treatment of acute myeloid leukaemia,ERYtech Pharma S.A.,08/02/2013,,,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
792,"L-cysteine, L-leucyl-L-alpha-glutamyl-L-alpha-glutamyl-L-lysyl-L-lysylglycyl-L-asparaginyl-L-tyrosyl-L-valyl-L-valyl-L-threonyl-L-alpha-aspartyl-L-histidyl-S-[1-[(4-carboxycyclohexyl)methyl]-2,5-dioxo-3-pyrrolidinyl]-, complex with keyhole limpet haemocyanin",EU/3/11/923,Treatment of glioma,Orphix Consulting GmbH,27/10/2011,,,glioma,http://purl.obolibrary.org/obo/DOID_3070,http://purl.obolibrary.org/obo/HP_0009733,http://www.orpha.net/ORDO/Orphanet_182067,D005910,Q1365309,Q1365309,Q18556612
793,Lenalidomide,EU/3/07/494,Treatment of chronic lymphocytic leukaemia,Celgene Europe Limited,19/11/2007,,Q425681,chronic lymphocytic leukemia,http://purl.obolibrary.org/obo/DOID_1040,http://purl.obolibrary.org/obo/HP_0005550,,D015451,Q1088156,,Q1088156
794,Lenalidomide,EU/3/11/868,Treatment of diffuse large B-cell lymphoma,Celgene Europe Limited,13/05/2011,,Q425681,diffuse large bcell lymphoma,http://purl.obolibrary.org/obo/DOID_0050745,,http://www.orpha.net/ORDO/Orphanet_544,,Q2626074,,
795,Lenalidomide,EU/3/11/924,Treatment of mantle cell lymphoma,Celgene Europe Limited,27/10/2011,RevlimidEU/1/07/39112/07/2016,Q425681,mantle cell lymphoma,http://purl.obolibrary.org/obo/DOID_0050746,,http://www.orpha.net/ORDO/Orphanet_52416,D020522,Q268713,,
796,Lenalidomide,EU/3/12/1097,Treatment of follicular lymphoma,Celgene Europe Limited,24/01/2013,,Q425681,follicular lymphoma,http://purl.obolibrary.org/obo/DOID_0050873,,http://www.orpha.net/ORDO/Orphanet_545,D008224,Q123251,,
797,Lenalidomide,EU/3/15/1473,Treatment of marginal zone lymphoma,Celgene Europe Limited,24/04/2015,,Q425681,marginal zone lymphoma,http://purl.obolibrary.org/obo/DOID_0050748,,http://www.orpha.net/ORDO/Orphanet_300912,,Q18553449,,
798,Lentiviral vector carrying the Fanconi anaemia-A (FANCA) gene,EU/3/10/822,Treatment of Fanconi anaemia type A,Centro de Investigación Biomédica en Red (CIBER),17/12/2010,,Q21547222,fanconi anemia type a,,,,,,,
